˙ㄓㄚ zha ⠁⠜⠁ 587 zha5 a>a
˙ㄓㄜ zhe ⠁⠮⠁ 5k7 zhe5 a!a
˙ㄓㄞ zhai ⠁⠺⠁ 597 zhai5 awa
˙ㄓㄟ zhei ⠁⠴⠁ 5o7 zhei5 a0a
˙ㄓㄠ zhao ⠁⠩⠁ 5l7 zhao5 a%a
˙ㄓㄡ zhou ⠁⠷⠁ 5.7 zhou5 a(a
˙ㄓㄢ zhan ⠁⠧⠁ 507 zhan5 ava
˙ㄓㄣ zhen ⠁⠥⠁ 5p7 zhen5 aua
˙ㄓㄤ zhang ⠁⠭⠁ 5;7 zhang5 axa
˙ㄓㄥ zheng ⠁⠵⠁ 5/7 zheng5 aza
˙ㄓㄨ zhu ⠁⠌⠁ 5j7 zhu5 a/a
˙ㄓㄨㄚ zhua ⠁⠔⠁ 5j87 zhua5 a9a
˙ㄓㄨㄛ zhuo ⠁⠒⠁ 5ji7 zhuo5 a3a
˙ㄓㄨㄞ zhuai ⠁⠶⠁ 5j97 zhuai5 a7a
˙ㄓㄨㄟ zhui ⠁⠫⠁ 5jo7 zhui5 a$a
˙ㄓㄨㄢ zhuan ⠁⠻⠁ 5j07 zhuan5 a]a
˙ㄓㄨㄣ zhun ⠁⠿⠁ 5jp7 zhun5 a=a
˙ㄓㄨㄤ zhuang ⠁⠸⠁ 5j;7 zhuang5 a_a
˙ㄓㄨㄥ zhong ⠁⠯⠁ 5j/7 zhong5 a&a
˙ㄔ chi ⠃⠱⠁ t7 chi5 b:a
˙ㄔㄚ cha ⠃⠜⠁ t87 cha5 b>a
˙ㄔㄜ che ⠃⠮⠁ tk7 che5 b!a
˙ㄔㄞ chai ⠃⠺⠁ t97 chai5 bwa
˙ㄔㄠ chao ⠃⠩⠁ tl7 chao5 b%a
˙ㄔㄡ chou ⠃⠷⠁ t.7 chou5 b(a
˙ㄔㄢ chan ⠃⠧⠁ t07 chan5 bva
˙ㄔㄣ chen ⠃⠥⠁ tp7 chen5 bua
˙ㄔㄤ chang ⠃⠭⠁ t;7 chang5 bxa
˙ㄔㄥ cheng ⠃⠵⠁ t/7 cheng5 bza
˙ㄔㄨ chu ⠃⠌⠁ tj7 chu5 b/a
˙ㄔㄨㄚ chua ⠃⠔⠁ tj87 chua5 b9a
˙ㄔㄨㄛ chuo ⠃⠒⠁ tji7 chuo5 b3a
˙ㄔㄨㄞ chuai ⠃⠶⠁ tj97 chuai5 b7a
˙ㄔㄨㄟ chui ⠃⠫⠁ tjo7 chui5 b$a
˙ㄔㄨㄢ chuan ⠃⠻⠁ tj07 chuan5 b]a
˙ㄔㄨㄣ chun ⠃⠿⠁ tjp7 chun5 b=a
˙ㄔㄨㄤ chuang ⠃⠸⠁ tj;7 chuang5 b_a
˙ㄔㄨㄥ chong ⠃⠯⠁ tj/7 chong5 b&a
˙ㄕ shi ⠊⠱⠁ g7 shi5 i:a
˙ㄕㄚ sha ⠊⠜⠁ g87 sha5 i>a
˙ㄕㄜ she ⠊⠮⠁ gk7 she5 i!a
˙ㄕㄞ shai ⠊⠺⠁ g97 shai5 iwa
˙ㄕㄟ shei ⠊⠴⠁ go7 shei5 i0a
˙ㄕㄠ shao ⠊⠩⠁ gl7 shao5 i%a
˙ㄕㄡ shou ⠊⠷⠁ g.7 shou5 i(a
˙ㄕㄢ shan ⠊⠧⠁ g07 shan5 iva
˙ㄕㄣ shen ⠊⠥⠁ gp7 shen5 iua
˙ㄕㄤ shang ⠊⠭⠁ g;7 shang5 ixa
˙ㄕㄥ sheng ⠊⠵⠁ g/7 sheng5 iza
˙ㄕㄨ shu ⠊⠌⠁ gj7 shu5 i/a
˙ㄕㄨㄚ shua ⠊⠔⠁ gj87 shua5 i9a
˙ㄕㄨㄛ shuo ⠊⠒⠁ gji7 shuo5 i3a
˙ㄕㄨㄞ shuai ⠊⠶⠁ gj97 shuai5 i7a
˙ㄕㄨㄟ shui ⠊⠫⠁ gjo7 shui5 i$a
˙ㄕㄨㄢ shuan ⠊⠻⠁ gj07 shuan5 i]a
˙ㄕㄨㄣ shun ⠊⠿⠁ gjp7 shun5 i=a
˙ㄕㄨㄤ shuang ⠊⠸⠁ gj;7 shuang5 i_a
˙ㄕㄨㄥ shong ⠊⠯⠁ gj/7 shong5 i&a
˙ㄖ ri ⠛⠱⠁ b7 ri5 g:a
˙ㄖㄜ re ⠛⠮⠁ bk7 re5 g!a
˙ㄖㄠ rao ⠛⠩⠁ bl7 rao5 g%a
˙ㄖㄡ rou ⠛⠷⠁ b.7 rou5 g(a
˙ㄖㄢ ran ⠛⠧⠁ b07 ran5 gva
˙ㄖㄣ ren ⠛⠥⠁ bp7 ren5 gua
˙ㄖㄤ rang ⠛⠭⠁ b;7 rang5 gxa
˙ㄖㄥ reng ⠛⠵⠁ b/7 reng5 gza
˙ㄖㄨ ru ⠛⠌⠁ bj7 ru5 g/a
˙ㄖㄨㄛ ruo ⠛⠒⠁ bji7 ruo5 g3a
˙ㄖㄨㄟ rui ⠛⠫⠁ bjo7 rui5 g$a
˙ㄖㄨㄢ ruan ⠛⠻⠁ bj07 ruan5 g]a
˙ㄖㄨㄣ run ⠛⠿⠁ bjp7 run5 g=a
˙ㄖㄨㄥ rong ⠛⠯⠁ bj/7 rong5 g&a
˙ㄗ zi ⠓⠱⠁ y7 zi5 h:a
˙ㄗㄚ za ⠓⠜⠁ y87 za5 h>a
˙ㄗㄜ ze ⠓⠮⠁ yk7 ze5 h!a
˙ㄗㄞ zai ⠓⠺⠁ y97 zai5 hwa
˙ㄗㄟ zei ⠓⠴⠁ yo7 zei5 h0a
˙ㄗㄠ zao ⠓⠩⠁ yl7 zao5 h%a
˙ㄗㄡ zou ⠓⠷⠁ y.7 zou5 h(a
˙ㄗㄢ zan ⠓⠧⠁ y07 zan5 hva
˙ㄗㄣ zen ⠓⠥⠁ yp7 zen5 hua
˙ㄗㄤ zang ⠓⠭⠁ y;7 zang5 hxa
˙ㄗㄥ zeng ⠓⠵⠁ y/7 zeng5 hza
˙ㄗㄨ zu ⠓⠌⠁ yj7 zu5 h/a
˙ㄗㄨㄛ zuo ⠓⠒⠁ yji7 zuo5 h3a
˙ㄗㄨㄟ zui ⠓⠫⠁ yjo7 zui5 h$a
˙ㄗㄨㄢ zuan ⠓⠻⠁ yj07 zuan5 h]a
˙ㄗㄨㄣ zun ⠓⠿⠁ yjp7 zun5 h=a
˙ㄗㄨㄥ zong ⠓⠯⠁ yj/7 zong5 h&a
˙ㄘ ci ⠚⠱⠁ h7 ci5 j:a
˙ㄘㄚ ca ⠚⠜⠁ h87 ca5 j>a
˙ㄘㄜ ce ⠚⠮⠁ hk7 ce5 j!a
˙ㄘㄞ cai ⠚⠺⠁ h97 cai5 jwa
˙ㄘㄠ cao ⠚⠩⠁ hl7 cao5 j%a
˙ㄘㄡ cou ⠚⠷⠁ h.7 cou5 j(a
˙ㄘㄢ can ⠚⠧⠁ h07 can5 jva
˙ㄘㄣ cen ⠚⠥⠁ hp7 cen5 jua
˙ㄘㄤ cang ⠚⠭⠁ h;7 cang5 jxa
˙ㄘㄥ ceng ⠚⠵⠁ h/7 ceng5 jza
˙ㄘㄨ cu ⠚⠌⠁ hj7 cu5 j/a
˙ㄘㄨㄛ cuo ⠚⠒⠁ hji7 cuo5 j3a
˙ㄘㄨㄟ cui ⠚⠫⠁ hjo7 cui5 j$a
˙ㄘㄨㄢ cuan ⠚⠻⠁ hj07 cuan5 j]a
˙ㄘㄨㄣ cun ⠚⠿⠁ hjp7 cun5 j=a
˙ㄘㄨㄥ cong ⠚⠯⠁ hj/7 cong5 j&a
˙ㄙ si ⠑⠱⠁ n7 si5 e:a
˙ㄙㄚ sa ⠑⠜⠁ n87 sa5 e>a
˙ㄙㄜ se ⠑⠮⠁ nk7 se5 e!a
˙ㄙㄞ sai ⠑⠺⠁ n97 sai5 ewa
˙ㄙㄟ sei ⠑⠴⠁ no7 sei5 e0a
˙ㄙㄠ sao ⠑⠩⠁ nl7 sao5 e%a
˙ㄙㄡ sou ⠑⠷⠁ n.7 sou5 e(a
˙ㄙㄢ san ⠑⠧⠁ n07 san5 eva
˙ㄙㄣ sen ⠑⠥⠁ np7 sen5 eua
˙ㄙㄤ sang ⠑⠭⠁ n;7 sang5 exa
˙ㄙㄥ seng ⠑⠵⠁ n/7 seng5 eza
˙ㄙㄨ su ⠑⠌⠁ nj7 su5 e/a
˙ㄙㄨㄛ suo ⠑⠒⠁ nji7 suo5 e3a
˙ㄙㄨㄟ sui ⠑⠫⠁ njo7 sui5 e$a
˙ㄙㄨㄢ suan ⠑⠻⠁ nj07 suan5 e]a
˙ㄙㄨㄣ sun ⠑⠿⠁ njp7 sun5 e=a
˙ㄙㄨㄥ song ⠑⠯⠁ nj/7 song5 e&a
˙ㄚ a ⠜⠁ 87 a5 >a
˙ㄛ o ⠣⠁ i7 o5 <a
˙ㄜ e ⠮⠁ k7 e5 !a
˙ㄝ ê ⠢⠁ ,7 ea5 5a
